Dosage (µSv/h),Distance (cm),Sensor,Time,Details,Coordinates
0.25,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:53 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.51,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:55 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.28,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:57 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.29,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:59 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.48,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:01 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.27,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:03 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.64,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:05 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.31,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:07 PM,Low dosage detected in this area,"[51.42349, -2.67147]"
0.53,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:09 PM,Low dosage detected in this area,"[51.42349, -2.67147]"
0.5,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:12 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.4,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:14 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.71,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:16 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.28,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:18 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.47,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:20 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.64,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:22 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.51,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:24 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.6,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:26 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.76,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:28 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.3,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:30 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.26,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:32 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.33,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:34 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.3,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:36 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.42,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:38 PM,Low dosage detected in this area,"[51.42349, -2.67148]"
0.56,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:42 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.42,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:44 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.4,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:46 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.51,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:48 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.54,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:51 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.4,13.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:53 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.62,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:55 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.55,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:57 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.33,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:12:59 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.69,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:01 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.36,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:03 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.62,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:05 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.27,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:07 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.5,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:09 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
